営業所名,営業所住所,営業所電話番号,申請者名,申請区分,指令番号,業種名,業態名,許可年月日,許可期間（開始）,許可期間（満了）
ラムだっちゃ,秋田市,,合同会社　ラムだっちゃ,新規,164,飲食店営業,移動,3/23/20,3/23/20,5/31/25
ショートステイであい　シダックス店,秋田市中通六丁目４－１２,,シダックスフードサービス株式会社,新規,167,飲食店営業,一般,3/24/20,3/24/20,11/30/25
ヌードルバル　オクト,秋田市千秋明徳町２－１０,018-893-6675,株式会社　おり座,新規,176,飲食店営業,一般,3/26/20,3/26/20,9/30/25
日乃屋カレー　秋田市民市場店,秋田市中通四丁目７－３５,,株式会社　ブライト,新規,177,飲食店営業,一般,3/26/20,3/26/20,11/30/25
老健　かみの里,秋田市上北手百崎字二夕子沢１－６,,株式会社　ＬＥＯＣ,新規,175,飲食店営業,一般,3/26/20,3/26/20,9/30/26
由利屋トラック２号,秋田市内,,佐藤雄一,新規,168,飲食店営業,移動,3/26/20,3/26/20,5/31/25
川反ルーフトップ“肉広場”,秋田市内,,伊藤智博,新規,169,喫茶店営業,露天営業,3/26/20,3/26/20,3/25/25
川反ルーフトップ“肉広場”,秋田市内,,伊藤智博,新規,170,菓子製造業,露天営業,3/26/20,3/26/20,3/25/25
川反ルーフトップ“肉広場”,秋田市内,,伊藤智博,新規,171,飲食店営業,露天営業,3/26/20,3/26/20,3/25/25
川反ルーフトップ“肉広場”,秋田市内,,伊藤智博,新規,172,飲食店営業,露天営業,3/26/20,3/26/20,3/25/25
駅前酒場　パドック,秋田市中通四丁目１７－３０,,竹内賢武,新規,178,飲食店営業,一般,3/26/20,3/26/20,11/30/25
菓子工房　ふくろうの杜,秋田市山王沼田町１－２８,,檜山陽子,新規,180,菓子製造業,一般,3/30/20,3/30/20,4/30/25
コープ秋田土崎店内テナント「肉のわかば」,秋田市土崎港北六丁目２－９０,,株式会社　大門商店,新規,186,食肉販売業,一般,4/2/20,4/2/20,5/31/25
コープ秋田土崎店内テナント「肉のわかば」,秋田市土崎港北六丁目２－９０,,株式会社　大門商店,新規,187,飲食店営業,その他,4/2/20,4/2/20,5/31/25
夜鳴き食堂　にいまる,秋田市大町四丁目３－２０,018-838-4554,畠山大地,新規,189,飲食店営業,一般,4/3/20,4/3/20,10/31/25
香楽園,秋田市手形字西谷地４０－２,018-835-5830,福田勝太,新規,191,飲食店営業,一般,4/6/20,4/6/20,1/31/26
北海道レストラン　ルンゴカーニバル秋田店,秋田市高陽幸町８－２３,018-893-6266,フードガレージ株式会社,新規,190,飲食店営業,一般,4/6/20,4/6/20,8/31/25
Ｃｏｃｃｏ,秋田市大町五丁目２－４３,,竹内なつみ,新規,194,飲食店営業,一般,4/8/20,4/8/20,10/31/25
（有）コーエーフーズ,秋田市仁井田二ツ屋一丁目１０－４８,,有限会社　コーエーフーズ,新規,193,飲食店営業,仕出し・弁当,4/8/20,4/8/20,6/30/26
工藤商店,秋田市内,,工藤富士男,継続,192,飲食店営業,露天営業,4/8/20,4/14/20,4/13/25
古民家カフェ　木蓮,秋田市土崎港南三丁目１０－４,018-847-0518,有限会社　Ｋ・Ｙサービス,新規,201,飲食店営業,一般,4/10/20,4/10/20,5/31/25
石塚工業,秋田市内,,石塚誠,新規,198,飲食店営業,移動,4/10/20,4/10/20,5/31/25
黒真珠,秋田市山王一丁目１０－１２,018-824-0009,橋本敏子,継続,208,飲食店営業,一般,4/16/20,5/1/20,4/30/25
丸の内食堂,秋田市茨島二丁目１２－４０,018-824-1988,石黒恵,新規,202,飲食店営業,一般,4/16/20,4/16/20,4/30/25
まごころ弁当　秋田店,秋田市横森三丁目２－１２,018-853-6783,北岡春也,新規,204,飲食店営業,仕出し・弁当,4/16/20,4/16/20,9/30/25
以真沁（えんじゅ）,秋田市山王三丁目１－７,018-865-8787,ユーアイ・トータルプランニング株式会社,継続,207,飲食店営業,一般,4/16/20,5/1/20,4/30/25
とんかつ　かつ吉,秋田市山王一丁目３－１６,018-866-6544,有限会社　オー・イー・シー,継続,209,飲食店営業,仕出し・弁当,4/16/20,5/1/20,4/30/26
秋田牛玄亭　山王別館,秋田市山王三丁目１－３３,018-893-6329,有限会社　日野,継続,206,飲食店営業,仕出し・弁当,4/16/20,5/1/20,4/30/26
夢幻海,秋田市山王一丁目１１－３６,018-862-5202,株式会社　大幸,継続,210,飲食店営業,一般,4/17/20,5/1/20,4/30/26
菜八,秋田市山王二丁目１０－１０,018-866-5378,納谷幸夫,継続,211,飲食店営業,一般,4/17/20,5/1/20,4/30/26
居酒やレストラン菜酎鈴,秋田市山王新町１０－１８,018-824-1220,小山内繁,継続,223,飲食店営業,一般,4/21/20,5/1/20,4/30/26
セブン－イレブン　秋田山王中島町店,秋田市山王中島町２－２,018-824-1411,阿部真理子,継続,213,飲食店営業,その他,4/21/20,5/1/20,4/30/26
ローソン秋田山王中園店,秋田市山王中園町１１－２０,018-864-0720,有限会社　イトーマーク,継続,218,飲食店営業,仕出し・弁当,4/21/20,5/1/20,4/30/26
セブン－イレブン　秋田山王６丁目店,秋田市山王六丁目２－１４,018-866-3110,株式会社　セブン－イレブン・ジャパン,継続,224,飲食店営業,その他,4/21/20,5/1/20,4/30/26
ガスト秋田山王店,秋田市山王七丁目３－３２,018-883-4503,株式会社　すかいらーくレストランツ,継続,217,飲食店営業,一般,4/21/20,5/1/20,4/30/26
レストランＳＵＮＳＵＮ山王店,秋田市山王七丁目１－３,,株式会社　サンアメニティ,継続,222,飲食店営業,一般,4/21/20,5/1/20,4/30/26
鮨　小じま,秋田市山王一丁目７－３,018-853-1378,小島良太,継続,230,飲食店営業,一般,4/22/20,5/1/20,4/30/26
ティーランカ,秋田市山王一丁目４－１０,018-862-0728,渡邉留夫,継続,231,飲食店営業,一般,4/22/20,5/1/20,4/30/25
酒盃　,秋田市山王一丁目６－９,018-863-1547,有限会社　オキコーポレーション,継続,232,飲食店営業,一般,4/22/20,5/1/20,4/30/26
コットンクラブ,秋田市大町四丁目３－２０,018-863-8767,大堀孝志,新規,239,飲食店営業,一般,4/22/20,4/22/20,10/31/25
リトルスター,秋田市山王二丁目１－５６,018-864-5898,越前屋亮一,継続,234,飲食店営業,一般,4/22/20,5/1/20,4/30/26
板の間,秋田市山王一丁目６－７,018-864-5941,石垣勝敏,継続,233,飲食店営業,一般,4/22/20,5/1/20,4/30/25
カレーハウス　華麗亭,秋田市山王三丁目５－１５,018-864-8026,川和田正宏,継続,228,飲食店営業,一般,4/22/20,5/1/20,4/30/26
あざみ亭,秋田市山王一丁目１２－２０,018-865-8660,有限会社　ネットイデア,継続,229,飲食店営業,一般,4/22/20,5/1/20,4/30/26
なごみ食堂,秋田市茨島二丁目７－２４,018-866-0033,株式会社　ジャスナ,継続,237,飲食店営業,一般,4/22/20,5/1/20,4/30/26
カフェ・バンカレラ茨島店,秋田市茨島一丁目４－７,018-866-1505,株式会社　マルハンダイニング,継続,236,飲食店営業,その他,4/22/20,5/1/20,4/30/26
やきとりの扇屋　秋田茨島店,秋田市茨島六丁目１０－２４,018-893-4170,株式会社　扇屋東日本,継続,238,飲食店営業,一般,4/22/20,5/1/20,4/30/26
六屋,秋田市山王一丁目７－３,018-824-6868,菅秀六,継続,244,飲食店営業,一般,4/23/20,5/1/20,4/30/26
株式会社　匠,秋田市寺内字将軍野１,018-845-0125,株式会社　匠,新規,251,飲食店営業,一般,4/23/20,4/23/20,8/31/26
竹本商店,秋田市土崎港西二丁目４－３６,018-845-7510,株式会社　渡幸,新規,255,飲食店営業,一般,4/23/20,4/23/20,5/31/25
福田商店,秋田市山王二丁目１１－１９,018-862-3568,福田敏勝,継続,248,魚介類販売業,一般,4/23/20,5/1/20,4/30/25
お菓子のにこり,秋田市八橋三和町１２－２,018-862-6232,籾山明敏,新規,250,菓子製造業,一般,4/23/20,4/23/20,8/31/25
雫,秋田市大町四丁目１－３,018-862-6500,株式会社　渡幸,新規,253,飲食店営業,一般,4/23/20,4/23/20,10/31/25
入舟,秋田市山王二丁目１０－１０,018-863-6060,牧野誠悦,継続,247,飲食店営業,仕出し・弁当,4/23/20,5/1/20,4/30/26
焼肉センター　アジト,秋田市山王二丁目８－２２,018-863-8852,株式会社　渡幸,新規,252,飲食店営業,一般,4/23/20,4/23/20,4/30/25
はちよう,秋田市山王二丁目７－３６,018-864-9087,原田茂子,継続,243,飲食店営業,一般,4/23/20,5/1/20,4/30/26
竹本商店煮干センター,秋田市新屋朝日町２７－３６,018-893-5519,株式会社　渡幸,新規,254,飲食店営業,一般,4/23/20,4/23/20,6/30/25
クローバー,秋田市山王一丁目６－７,,田口由記,継続,246,飲食店営業,一般,4/23/20,5/1/20,4/30/25
ＳＯＵＰ　ＨＯＬＩＣ,秋田市中通六丁目９－１０,018-834-7700,須田敏之,新規,263,菓子製造業,一般,4/24/20,4/24/20,11/30/25
カラオケスナックいちばん星,秋田市土崎港中央一丁目８－２８,018-845-9606,倉部松吾,新規,258,飲食店営業,一般,4/24/20,4/24/20,5/31/25
旬季ぷくぷく,秋田市山王二丁目１１－４０－２,018-866-5222,株式会社　マムアース,新規,260,飲食店営業,仕出し・弁当,4/24/20,4/24/20,4/30/25
鳥若圓　ＦＣ山王店,秋田市山王三丁目８－２７,018-893-3093,鈴木純二,新規,262,飲食店営業,一般,4/24/20,4/24/20,4/30/26
メフォス北日本５２３６０号店,秋田市向浜一丁目１０－１,,株式会社　メフォス北日本　,新規,259,飲食店営業,一般,4/24/20,4/24/20,6/30/26
笑和,秋田市中通六丁目１０－７,,里崎ひろ子,新規,261,飲食店営業,一般,4/24/20,4/24/20,11/30/25
浜真寿し,秋田市川元開和町３－８,018-823-3752,本藤博,継続,270,飲食店営業,一般,4/27/20,5/1/20,4/30/26
社員食堂,秋田市川尻若葉町６－１,018-862-5271,大嶋英子,継続,268,飲食店営業,一般,4/27/20,5/1/20,4/30/26
ノートルダム秋田,秋田市川尻町字大川反２３３－７５,018-862-6511,株式会社　へいあん秋田,継続,267,飲食店営業,一般,4/27/20,5/1/20,4/30/27
秋田いなふく米菓株式会社,秋田市川尻町字大川反１７０,018-863-1729,秋田いなふく米菓株式会社,継続,272,菓子製造業,一般,4/27/20,5/1/20,4/30/26
居酒屋　くまがい,秋田市山王二丁目７－４,018-863-2979,熊谷満,継続,265,飲食店営業,一般,4/27/20,5/1/20,4/30/26
村田商店,秋田市川尻若葉町５－１５,018-864-0604,村田知奈美,継続,269,飲食店営業,仕出し・弁当,4/27/20,5/1/20,4/30/26
株式会社　かおる堂,秋田市川尻町字大川反１７０－８２,018-864-4500,株式会社　かおる堂,継続,273,菓子製造業,一般,4/27/20,5/1/20,4/30/26
セブン－イレブン　秋田川尻みよし町店,秋田市川尻みよし町１２－１１,018-864-4711,木次谷英一,継続,282,飲食店営業,その他,4/27/20,5/1/20,4/30/26
フラット,秋田市川元開和町３－１９,018-864-8352,佐藤きえ子,継続,278,飲食店営業,一般,4/27/20,5/1/20,4/30/25
ダイニングバー　ルフージュ,秋田市山王三丁目５－１５,018-865-1106,鎌田浩幸,継続,264,飲食店営業,一般,4/27/20,5/1/20,4/30/26
ラウンジ　くにお,秋田市川元開和町３－２,018-865-7878,丹羽志郎,継続,276,飲食店営業,一般,4/27/20,5/1/20,4/30/26
ベベ,秋田市大町五丁目３－１４,018-866-1622,平川朋子,新規,275,飲食店営業,その他,4/27/20,4/27/20,10/31/25
ヤマザキデイリーストアー　秋田工業団地店,秋田市川尻町字大川反２３３－６０,018-867-0067,株式会社　たけや製パン　,継続,280,菓子製造業,一般,4/27/20,5/1/20,4/30/26
ヤマザキデイリーストアー　秋田工業団地店,秋田市川尻町字大川反２３３－６０,018-867-0067,株式会社　たけや製パン　,継続,279,飲食店営業,その他,4/27/20,5/1/20,4/30/26
いとく　川尻店,秋田市川尻みよし町１８－１,018-896-0077,株式会社　伊徳,継続,271,喫茶店営業,一般,4/27/20,5/1/20,4/30/26
チョビ,秋田市山王二丁目７－１,018-896-5588,鎌田絹子,継続,266,飲食店営業,一般,4/27/20,5/1/20,4/30/26
北の果樹工房　アンナフィアーレ,秋田市土崎港相染町字浜ナシ山２－２７１,,藤原達,新規,274,菓子製造業,一般,4/27/20,4/27/20,5/31/25
ぬーＤｏるれすとらん　ししまり,秋田市川尻総社町１７－１２,,沓澤萩子,継続,277,飲食店営業,一般,4/27/20,5/1/20,4/30/26
無化調ラーメン　麺屋ｔｈｅさとう,秋田市山王二丁目８－１７,018-827-5134,佐藤昭仁,継続,296,飲食店営業,一般,4/28/20,5/1/20,4/30/26
生活協同組合コープあきた茨島店,秋田市茨島四丁目１９－１９,018-862-3910,生活協同組合コープあきた,継続,288,魚介類販売業,一般,4/28/20,5/1/20,4/30/26
生活協同組合コープあきた茨島店,秋田市茨島四丁目１９－１９,018-862-3910,生活協同組合コープあきた,継続,287,飲食店営業,仕出し・弁当,4/28/20,5/1/20,4/30/26
居酒屋　ももん,秋田市山王新町１０－１８,018-862-8670,伊藤勇悦,継続,298,飲食店営業,一般,4/28/20,5/1/20,4/30/26
市立秋田総合病院　栄養室,秋田市川元松丘町４－３０,018-862-9133,株式会社　秋田キャッスルホテル,継続,300,飲食店営業,その他,4/28/20,5/1/20,4/30/27
日本料理　しの八,秋田市山王四丁目２－３,018-864-5530,高堰喜代忠,継続,299,飲食店営業,一般,4/28/20,5/1/20,4/30/25
中園食堂,秋田市山王中園町６－８,018-865-0109,金子善正,継続,294,飲食店営業,一般,4/28/20,5/1/20,4/30/26
伊藤旅館　ゲストハウス,秋田市山王七丁目６－１４,018-866-5162,伊藤嘉代子,継続,295,飲食店営業,一般,4/28/20,5/1/20,4/30/25
練,秋田市山王一丁目８－１５,018-866-6151,佐藤紀子,継続,297,飲食店営業,一般,4/28/20,5/1/20,4/30/26
アンサナ,秋田市中通二丁目４－８,018-825-2008,合同会社　アンサナ,新規,310,飲食店営業,一般,4/30/20,4/30/20,11/30/25
ら～めん仕事人,秋田市山王六丁目１１－２４,018-837-1922,佐藤博敦,新規,309,飲食店営業,一般,4/30/20,4/30/20,4/30/25
秋田熊さん麺ショップ,秋田市外旭川字三後田２０９－２,018-838-0570,秋田熊さん株式会社,新規,306,飲食店営業,その他,4/30/20,4/30/20,7/31/25
ＢＡＲ　３ｒｄ　ｃｏｒｋ,秋田市大町三丁目２－３１,018-862-0015,新野広知,新規,304,飲食店営業,一般,4/30/20,4/30/20,10/31/25
子近,秋田市大町五丁目２－２２,018-866-0343,近藤直彦,新規,303,飲食店営業,一般,4/30/20,4/30/20,10/31/25
小料理　茂八,秋田市山王一丁目７－１７,018-866-5214,髙橋愛子,継続,301,飲食店営業,一般,4/30/20,5/1/20,4/30/26
ＢＡＲ　ＬＡＺＹ,秋田市大町四丁目２－２１,,松倉源栄,新規,302,飲食店営業,一般,4/30/20,4/30/20,10/31/25
Ｃｏｆｆｅｅ　ｊａｃｋ,秋田市千秋公園１－２９,,須田敏之,新規,307,飲食店営業,一般,4/30/20,4/30/20,9/30/25
さわやかさくらのもり,秋田市横森一丁目５－４０,,株式会社　ＬＥＯＣ,新規,305,飲食店営業,一般,4/30/20,4/30/20,9/30/26
スタジオベーカリー　クレアシオン,秋田市仁井田本町五丁目１１－２,018-826-0421,株式会社　たけや製パン　,新規,316,アイスクリーム類製造業,一般,5/8/20,5/8/20,6/30/26
アマン,秋田市大町五丁目２－１３,,加藤礼子,新規,315,飲食店営業,その他,5/8/20,5/8/20,10/31/25
あらや食堂,秋田市新屋沖田町６－６,,細部元樹,新規,312,飲食店営業,一般,5/8/20,5/8/20,6/30/25
にぼし屋,秋田市御野場新町二丁目２４－２０,,藤原史,新規,314,飲食店営業,一般,5/8/20,5/8/20,6/30/25
いぬねこの家　クラスメイト,秋田市保戸野千代田町２－４５,,株式会社　トワ・プール,新規,313,飲食店営業,一般,5/8/20,5/8/20,1/31/26
ぴゅあろーず,秋田市大町五丁目３－２５,,藤田雄子,新規,317,飲食店営業,一般,5/12/20,5/12/20,10/31/25
ポンレヴェック　キッチンカー,秋田市内,,株式会社　ジェイ・チーボ,新規,320,飲食店営業,移動,5/12/20,5/12/20,5/31/25
（有）進藤冷菓,秋田市内,,有限会社　進藤冷菓,継続,322,喫茶店営業,移動,5/13/20,6/1/20,5/31/25
（有）進藤冷菓,秋田市内,,有限会社　進藤冷菓,継続,321,飲食店営業,移動,5/13/20,6/1/20,5/31/25
スナック　ふく,秋田市山王二丁目１０－３９,018-827-3155,豊島トキ子,新規,324,飲食店営業,一般,5/14/20,5/14/20,4/30/26
ｒｅ：ＺＥＲＯ,秋田市大町五丁目３－２３,018-838-7531,菊地隆雅,新規,323,飲食店営業,一般,5/14/20,5/14/20,10/31/25
いとく土崎みなと店,秋田市土崎港西三丁目２－１８,018-816-0060,株式会社　伊徳,継続,333,飲食店営業,仕出し・弁当,5/15/20,6/1/20,5/31/27
いとく土崎みなと店,秋田市土崎港西三丁目２－１８,018-816-0060,株式会社　伊徳,継続,335,食肉販売業,一般,5/15/20,6/1/20,5/31/27
いとく土崎みなと店,秋田市土崎港西三丁目２－１８,018-816-0060,株式会社　伊徳,継続,336,魚介類販売業,一般,5/15/20,6/1/20,5/31/27
いとく土崎みなと店,秋田市土崎港西三丁目２－１８,018-816-0060,株式会社　伊徳,継続,337,菓子製造業,一般,5/15/20,6/1/20,5/31/27
いとく土崎みなと店,秋田市土崎港西三丁目２－１８,018-816-0060,株式会社　伊徳,継続,334,飲食店営業,その他,5/15/20,6/1/20,5/31/27
和食いしやま,秋田市土崎港西三丁目１－３８,018-845-1266,石山義孝,継続,330,飲食店営業,一般,5/15/20,6/1/20,5/31/26
スナック松園,秋田市飯島道東二丁目１５－６,018-845-9673,碇谷福子,継続,332,飲食店営業,一般,5/15/20,6/1/20,5/31/25
（有）進藤冷菓,秋田市土崎港西一丁目９－１,018-857-3381,有限会社　進藤冷菓,継続,331,飲食店営業,その他,5/15/20,6/1/20,5/31/25
みどり寿司,秋田市山王七丁目２－５,018-864-5454,清水倫雄,継続,329,飲食店営業,一般,5/15/20,5/1/20,4/30/25
スナック絆,秋田市大町五丁目４－２７,018-866-6220,小林友枝,新規,328,飲食店営業,一般,5/15/20,5/15/20,10/31/25
河ドラ追分店,秋田市下新城中野字琵琶沼２７９－３,,有限会社　河辺ドライブイン,新規,327,飲食店営業,一般,5/15/20,5/15/20,5/31/25
就労継続支援Ｂ型事業所　ニコニコ工房追分,秋田市下新城中野字琵琶沼１５６－４,018-838-5696,医療法人　久幸会,継続,376,菓子製造業,一般,5/20/20,6/1/20,5/31/26
北斗製氷株式会社　土崎冷蔵庫,秋田市土崎港西一丁目１１－７,018-845-2445,北斗製氷株式会社　,継続,383,氷雪製造業,一般,5/20/20,6/1/20,5/31/26
菊屋,秋田市土崎港相染町字沼端７７－２７,018-845-5310,高橋誠次,継続,385,飲食店営業,一般,5/20/20,6/1/20,5/31/25
株式会社　アルファペックス,秋田市土崎港西三丁目１２－２９,018-846-6357,株式会社　アルファペックス,継続,384,喫茶店営業,一般,5/20/20,6/1/20,5/31/25
セブン－イレブン　秋田飯島新町２丁目店,秋田市飯島新町二丁目５－１３,018-847-2055,柳谷直樹,継続,386,飲食店営業,その他,5/20/20,6/1/20,5/31/26
三菱食品株式会社　秋田チルドＳＤＣ,秋田市土崎港相染町字浜ナシ山６－１,018-847-5071,三菱食品株式会社,継続,382,食品の冷凍又は冷蔵業,一般,5/20/20,6/1/20,5/31/26
げんきハウス,秋田市金足追分字海老穴２２２,018-872-1116,医療法人　久幸会,継続,375,飲食店営業,その他,5/20/20,6/1/20,5/31/26
有限会社　佐田商店,秋田市土崎港中央二丁目２－１６,018-845-0755,有限会社　佐田商店,継続,403,食肉処理業,一般,5/21/20,6/1/20,5/31/26
やきにく　ぽんぽん,秋田市土崎港中央三丁目３－２,018-845-3200,伊藤進,継続,393,飲食店営業,一般,5/21/20,6/1/20,5/31/26
みなとカラオケセンターカラオケステージさくら　さくら,秋田市土崎港中央一丁目１３－１７,018-845-9010,有限会社　土崎不動産,継続,400,飲食店営業,一般,5/21/20,6/1/20,5/31/25
セブン－イレブン　秋田土崎港北７丁目店,秋田市土崎港北七丁目５－１６,018-845-9700,畠山秀美,継続,395,飲食店営業,その他,5/21/20,6/1/20,5/31/26
弁当　すっとんとん,秋田市土崎港中央五丁目５－１６,018-846-7001,堀田咲子,継続,392,飲食店営業,仕出し・弁当,5/21/20,6/1/20,5/31/26
医療法人　久盛会　クローバー就労継続支援事業所,秋田市飯島道東二丁目１３－２０,018-846-9608,医療法人　久盛会,継続,391,そうざい製造業,一般,5/21/20,6/1/20,5/31/26
麦とぶどう,秋田市将軍野南五丁目１１－２４,,菅原瑞恵,継続,394,飲食店営業,一般,5/21/20,6/1/20,5/31/25
酒肴処　和,秋田市将軍野東四丁目１４－１１,,鎌田博文,継続,402,飲食店営業,一般,5/21/20,6/1/20,5/31/26
株式会社　藤和旅館,秋田市土崎港中央二丁目３－５０,018-845-0816,株式会社　藤和旅館,新規,406,飲食店営業,一般,5/22/20,5/22/20,5/31/25
アグリばたけ,秋田市飯島新町二丁目６－１９,018-845-6379,畑裕子,継続,416,菓子製造業,一般,5/22/20,6/1/20,5/31/25
いとく　自衛隊通店,秋田市土崎港北二丁目１７－６０,018-846-6655,株式会社　伊徳,継続,414,喫茶店営業,一般,5/22/20,6/1/20,5/31/26
秋田製錬株式会社,秋田市飯島字古道下川端２１７－９,018-846-8405,秋田製錬株式会社,継続,418,添加物製造業,一般,5/22/20,6/1/20,5/31/25
スナック　まりこ,秋田市土崎港東二丁目１－３３,018-857-2012,藤原収,継続,417,飲食店営業,一般,5/22/20,6/1/20,5/31/25
ローソン秋田北インター店,秋田市上新城中南波掛１７－１,018-872-3855,有限会社　あいわ商店,新規,410,飲食店営業,その他,5/22/20,5/22/20,5/31/26
乃が美はなれ秋田,秋田市川元山下町１－１１,018-874-9445,株式会社　ビッグフォレスト,新規,408,菓子製造業,一般,5/22/20,5/22/20,4/30/27
讃岐うどん　２代目ＷＡＴＡＲＯ,秋田市千秋明徳町１－５５,,藤田睦,新規,407,飲食店営業,一般,5/22/20,5/22/20,9/30/25
スナックＲｕＲｕ,秋田市土崎港中央一丁目１１－２０,,伊藤洋子,新規,420,飲食店営業,その他,5/25/20,5/25/20,5/31/25
ＧＡＴＥ,秋田市広面字昼寝６－１０,,山岡雄輔,新規,419,飲食店営業,一般,5/25/20,5/25/20,9/30/25
麺工房　かい星,秋田市土崎港西四丁目１－１,018-846-7000,板橋耕作,継続,423,飲食店営業,一般,5/26/20,6/1/20,5/31/26
セブン－イレブン　秋田将軍野南２丁目店,秋田市将軍野南二丁目５－３７,018-857-0018,三浦綱毅,継続,425,飲食店営業,その他,5/26/20,6/1/20,5/31/26
秋田なまはげ農業協同組合追分加工所,秋田市金足追分字海老穴２６６,018-873-4842,秋田なまはげ農業協同組合,継続,429,みそ製造業,一般,5/26/20,6/1/20,5/31/26
ならや,秋田市寺内油田二丁目６－２１,018-807-5306,奈良宣大,新規,442,菓子製造業,一般,5/28/20,5/28/20,8/31/25
青い鳥のレストラン,秋田市楢山登町１－４,018-825-2005,大渕宗幸,新規,437,飲食店営業,一般,5/28/20,5/28/20,7/31/25
セリオンカフェ,秋田市土崎港西一丁目９－１,018-857-3381,戸嶋諭,新規,439,飲食店営業,一般,5/28/20,5/28/20,5/31/25
久里庵,秋田市八橋南二丁目１０－１６,018-864-2083,株式会社　オーネスインターナショナル,新規,440,飲食店営業,一般,5/28/20,5/28/20,8/31/25
ＥＬＩＺＡ,秋田市大町四丁目３－２０,,千田恭子,新規,438,飲食店営業,その他,5/28/20,5/28/20,10/31/25
鳥若圓セントラルキッチン,秋田市山王三丁目８－２７,,株式会社　ＳＡＲ,新規,441,そうざい製造業,一般,5/28/20,5/28/20,4/30/27
ＢＡＲゆんたく,秋田市大町三丁目２－２２,,儀間悠介,新規,436,飲食店営業,一般,5/28/20,5/28/20,10/31/25
８８バル,秋田市中通一丁目４－３,018-838-7588,株式会社　フード・ボックス,新規,445,そうざい製造業,一般,5/29/20,5/29/20,11/30/25
信楽,秋田市土崎港西三丁目１－３７,018-845-0563,伊藤和子,継続,448,飲食店営業,一般,5/29/20,6/1/20,5/31/26
秋田県漁業協同組合,秋田市土崎港西一丁目５－１１,018-845-1311,秋田県漁業協同組合,継続,451,魚介類販売業,一般,5/29/20,6/1/20,5/31/26
ごん助,秋田市将軍野東四丁目１５－１０,018-845-7029,飴屋明子,継続,449,飲食店営業,一般,5/29/20,6/1/20,5/31/26
株式会社　マルダイ土崎店,秋田市土崎港相染町字家ノ下３６,018-845-8886,株式会社　マルダイ,継続,453,食肉販売業,一般,5/29/20,6/1/20,5/31/26
株式会社　マルダイ土崎店,秋田市土崎港相染町字家ノ下３６,018-845-8886,株式会社　マルダイ,継続,452,魚介類販売業,一般,5/29/20,6/1/20,5/31/26
ロッテリア７号　秋田土崎店,秋田市土崎港中央三丁目１２－１１,018-857-3975,株式会社　ロッテリア,継続,447,飲食店営業,一般,5/29/20,6/1/20,5/31/27
上新城ノーザンビレッジ加工所,秋田市飯島鼠田二丁目９－４５,018-884-7441,株式会社　上新城ノーザンビレッジ,継続,450,菓子製造業,一般,5/29/20,6/1/20,5/31/25
ラーメンショップ,秋田市飯島字平右衛門田尻２６３－４,018-846-7069,佐川房子,継続,454,飲食店営業,一般,6/1/20,6/1/20,5/31/26
めん六や　秋田店,秋田市飯島道東一丁目９－１,018-880-2845,株式会社　日本ヒュウマップ,継続,455,飲食店営業,一般,6/1/20,6/1/20,5/31/26
陸王,秋田市川尻御休町４－２,,合同会社　陸王,新規,459,飲食店営業,一般,6/3/20,6/3/20,4/30/26
Ｎｅｗ　Ｃｌｕｂ　Ａｌｉｃｅ,秋田市大町五丁目４－１６,018-823-2636,株式会社　Ｓｔａｒｓ　Ｃｏｒｐｏｒａｔｉｏｎ,新規,461,飲食店営業,その他,6/8/20,6/8/20,10/31/25
日本製紙秋田工場社員食堂,秋田市向浜二丁目１－１,018-823-7101,日本製紙秋田サポート株式会社,継続,471,飲食店営業,一般,6/8/20,7/1/20,6/30/26
株式会社　田口フードサービス,秋田市新屋鳥木町４－４６,018-828-0178,株式会社　田口フードサービス,継続,470,食肉処理業,一般,6/8/20,7/1/20,6/30/26
株式会社　全国チェーン竜鳳,秋田市豊岩石田坂字町田５８－１,018-828-1158,株式会社　全国チェーン竜鳳,継続,467,食肉販売業,一般,6/8/20,7/1/20,6/30/26
とんかつ新宿さぼてん,秋田市御所野地蔵田一丁目１－１,018-829-2283,株式会社　グリーンハウスフーズ,継続,472,飲食店営業,その他,6/8/20,7/1/20,6/30/26
スナック　ちゃら,秋田市山王一丁目２－１３,018-867-2567,髙橋功一,新規,462,飲食店営業,一般,6/8/20,6/8/20,4/30/26
スーパーセンターアマノ　御所野店,秋田市御所野堤台一丁目５－１,018-892-7333,株式会社　アマノ,継続,464,飲食店営業,一般,6/8/20,7/1/20,6/30/26
ｆ．ｍｍ,秋田市中通五丁目５－３１,,宇佐美浩太郎,新規,460,飲食店営業,一般,6/8/20,6/8/20,11/30/25
元気のでる炭火焼肉　やまなか家山王臨海店,秋田市山王臨海町４－４８,018-853-4121,株式会社　三樹商事,継続,475,食肉販売業,一般,6/9/20,5/1/20,4/30/26
スナックランカ,秋田市金足追分字海老穴２６７,018-873-3726,青木弘一,継続,473,飲食店営業,一般,6/9/20,6/1/20,5/31/25
第一貨物株式会社　秋田支店,秋田市土崎港相染町字浜ナシ山６－２７,,佐藤エツ,継続,474,飲食店営業,一般,6/9/20,6/1/20,5/31/26
瀬戸内製麺　イオンモール秋田店,秋田市御所野地蔵田一丁目１－１,018-829-6065,株式会社　瀬戸うどん,継続,476,飲食店営業,一般,6/10/20,7/1/20,6/30/26
